name,level,stamina,ev,with_captain,scc,source_revision,source_path
Angulotl Cleaver,1,4,3 for 4 minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.angulotl.statblock/angulotl-cleaver,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/angulotl/statblock/angulotl-cleaver.md
Angulotl Dart,1,3,3 for 4 minions,+4 bonus to ranged distance,mcdm.monsters.v1/monster.angulotl.statblock/angulotl-dart,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/angulotl/statblock/angulotl-dart.md
Angulotl Pollywog,1,4,3 for 4 minions,+2 bonus to speed,mcdm.monsters.v1/monster.angulotl.statblock/angulotl-pollywog,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/angulotl/statblock/angulotl-pollywog.md
Clawfish,1,5,3 for 4 minions,Gain an edge on strikes,mcdm.monsters.v1/monster.angulotl.statblock/clawfish,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/angulotl/statblock/clawfish.md
Crawling Claw,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.undead.1st-echelon.statblock/crawling-claw,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/1st-echelon/statblock/crawling-claw.md
Decrepit Skeleton,1,3,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.undead.1st-echelon.statblock/decrepit-skeleton,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/1st-echelon/statblock/decrepit-skeleton.md
Dwarf Axethrower,1,7,3 for 4 minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.dwarf.statblock/dwarf-axethrower,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/dwarf/statblock/dwarf-axethrower.md
Dwarf Catchpole,1,7,3 for 4 minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.dwarf.statblock/dwarf-catchpole,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/dwarf/statblock/dwarf-catchpole.md
Dwarf Driver,1,6,3 for 4 minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.dwarf.statblock/dwarf-driver,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/dwarf/statblock/dwarf-driver.md
Dwarf Hunter,1,6,3 for 4 minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.dwarf.statblock/dwarf-hunter,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/dwarf/statblock/dwarf-hunter.md
