revision,book,book_path,scc,name,workspace_path,matching_book_lines
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/ancestries.md,mcdm.heroes.v1/chapter/ancestries,Ancestries,vendor/steel-compendium/en/unified/md/chapter/ancestries.md,44
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/downtime-projects.md,mcdm.heroes.v1/chapter/downtime-projects,Downtime Projects,vendor/steel-compendium/en/unified/md/chapter/downtime-projects.md,8;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/for-the-director.md,mcdm.heroes.v1/chapter/for-the-director,For the Director,vendor/steel-compendium/en/unified/md/chapter/for-the-director.md,157;208;392;396;583;1197;1199;1203;1205;1207;1209;1211;1215;1219;1221;1223;1225;1227;1229;1233;1239
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/introduction.md,mcdm.heroes.v1/chapter/introduction,Introduction,vendor/steel-compendium/en/unified/md/chapter/introduction.md,144;240;266;428;454;456
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/kits.md,mcdm.heroes.v1/chapter/kits,Kits,vendor/steel-compendium/en/unified/md/chapter/kits.md,12;92
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/making-a-hero.md,mcdm.heroes.v1/chapter/making-a-hero,Making a Hero,vendor/steel-compendium/en/unified/md/chapter/making-a-hero.md,132;134;136;142
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/chapter/the-basics.md,mcdm.heroes.v1/chapter/the-basics,The Basics,vendor/steel-compendium/en/unified/md/chapter/the-basics.md,98
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/advanced-studies.md,mcdm.heroes.v1/complication/advanced-studies,Advanced Studies,vendor/steel-compendium/en/unified/md/complication/advanced-studies.md,10;12;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/animal-form.md,mcdm.heroes.v1/complication/animal-form,Animal Form,vendor/steel-compendium/en/unified/md/complication/animal-form.md,3;16
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/curse-of-poverty.md,mcdm.heroes.v1/complication/curse-of-poverty,Curse of Poverty,vendor/steel-compendium/en/unified/md/complication/curse-of-poverty.md,10
